파일,기호,컬럼,엑셀값,엑셀셀,도면원문,도면정규화,도면좌표,판정
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,TYPE,M10085,B2,M10085-110,M10085,"(12018.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,THK.,150,C2,150,150,"(11874.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,래티스,Ø5,D2,ø5,Ø5,"(12381.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,캠버,200,E2,LX/200,200,"(14086.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,서포트,-,G2,-,-,"(14392.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,TG,110,H2,M10085-110,110,"(12018.0, 8460.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,상부피복,30,I2,30,30,"(12529.0, 8499.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,하부피복,30,J2,30,30,"(12529.0, 8421.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,단부재,MVS,F2,,,,N/A
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS1,강판타입,A,K2,,,,N/A
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,TYPE,M13105,B3,M13105-110,M13105,"(12018.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,THK.,150,C3,150,150,"(11874.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,래티스,Ø5,D3,ø5,Ø5,"(12381.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,캠버,200,E3,LX/200,200,"(14086.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,서포트,-,G3,-,-,"(14392.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,TG,110,H3,M13105-110,110,"(12018.0, 8304.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,상부피복,30,I3,30,30,"(12529.0, 8343.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,하부피복,30,J3,30,30,"(12529.0, 8265.0)",일치
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,단부재,MVS,F3,,,,N/A
0309-09~10-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-C.xlsm,DS2,강판타입,A,K3,,,,N/A
